Score Area,Percentage,Runs,Wagon
Third man,0.113402062,11,1
Point,0.134020619,13,2
Cover,0.072164948,7,3
Long off,0.041237113,4,4
Long on,0.237113402,23,5
Mid wicket,0.18556701,18,6
Square leg,0.144329897,14,7
Fine leg,0.072164948,7,8
