Score Area,Percentage,Runs,Wagon
Third man,0.017391304,2,1
Point,0.165217391,19,2
Cover,0.173913043,20,3
Long off,0.095652174,11,4
Long on,0.156521739,18,5
Mid wicket,0.026086957,3,6
Square leg,0.217391304,25,7
Fine leg,0.147826087,17,8
