Player,PlayerId,Team,TeamId,Role,Sel,Credits
Lahiru Kumara,,SL,,BOWL,,8
Chris Woakes,,ENG,,BOWL,,8.5
Mitchell Starc,,AUS,,BOWL,,9
Mujeeb Ur Rahman,,AFG,,BOWL,,8.5
Fazalhaq Farooqi,,AFG,,BOWL,,8
Adam Zampa,,AUS,,BOWL,,9
Ish Sodhi,,NZ,,BOWL,,8
Fred Klassen,,NED,,BOWL,,7.5
Rashid Khan,,AFG,,BOWL,,9.5
Binura Fernando,,SL,,BOWL,,7
Tim Pringle,,NED,,BOWL,,7
Lockie Ferguson,,NZ,,BOWL,,8.5
Ashton Agar,,AUS,,BOWL,,7
Fareed Ahmad,,AFG,,BOWL,,7
Shaheeh Afridi,,PAK,,BOWL,,9.5
Adil Rashid,,ENG,,BOWL,,8.5
Barry McCarthy,,IRE,,BOWL,,8
Mustafizur Rahman,,BAN,,BOWL,,8.5
Mark Adair,,IRE,,BOWL,,8.5
Ravichandran Ashwin,,IND,,BOWL,,8
Josh Little,,IRE,,BOWL,,8
Kagiso Rabada,,SA,,BOWL,,9.5
Dushmantha Chameera,,SL,,BOWL,,8.5
Blessing Muzrabani,,ZIM,,BOWL,,8.5
Reece Topley,,ENG,,BOWL,,8.5
Keshav Maharaj,,SA,,BOWL,,8.5
Yuzvendra Chahal,,IND,,BOWL,,8.5
Qais Ahmad,,AFG,,BOWL,,8
Timm van der Gugten,,NED,,BOWL,,8
Luke Jongwe,,ZIM,,BOWL,,8
Tendai Chatara,,ZIM,,BOWL,,8
Richard Ngarava,,ZIM,,BOWL,,8
Craig Young,,IRE,,BOWL,,8
Naveen-ul-Haq,,AFG,,BOWL,,8
Mohammad Hasnain,,PAK,,BOWL,,8
Tabraiz Shamsi,,SA,,BOWL,,8
Chris Jordan,,ENG,,BOWL,,8
David Willey,,ENG,,BOWL,,8
Wayne Parnell,,SA,,BOWL,,8
Lungi Ngidi,,SA,,BOWL,,8
Anrich Nortje,,SA,,BOWL,,8
Jeffrey Vandersay,,SL,,BOWL,,7.5
Wellington Masakadza,,ZIM,,BOWL,,7.5
Pramod Madushan,,SL,,BOWL,,7.5
Adam Milne,,NZ,,BOWL,,7.5
Mohammad Wasim,,PAK,,BOWL,,7.5
Harshal Patel,,IND,,BOWL,,7.5
Kane Richardson,,AUS,,BOWL,,7.5
Victor Nyauchi,,ZIM,,BOWL,,7
Brandon Glover,,NED,,BOWL,,7
Marco Jansen,,SA,,BOWL,,7
Dilshan Madushanka,,SL,,BOWL,,7
Nasum Ahmed,,BAN,,BOWL,,7
Richard Gleeson,,ENG,,BOWL,,7
Mohammad Saifuddin,,BAN,,BOWL,,7
Shoriful Islam,,BAN,,BOWL,,7
Usman Qadir,,PAK,,BOWL,,7
Shahnawaz Dahani,,PAK,,BOWL,,7
Tymal Mills,,ENG,,BOWL,,7
Deepak Chahar,,IND,,BOWL,,7
Praveen Jayawickrama,,SL,,BOWL,,6.5
Ravi Bishnoi,,IND,,BOWL,,6.5
Graham Hume,,IRE,,BOWL,,6
Kasun Rajitha,,SL,,BOWL,,6
Conor Olphert,,IRE,,BOWL,,6
Tanaka Chivanga,,ZIM,,BOWL,,6
Sharafuddin Ashraf,,AFG,,BOWL,,6
Mohammad Saleem,,AFG,,BOWL,,6
Rishad Hossain,,BAN,,BOWL,,5.5
Ebadot Hossain,,BAN,,BOWL,,5
Bjorn Fortuin,,SA,,BOWL,,4.5
Lizaad Williams,,SA,,BOWL,,4
