SeriesId,MatchId,Player,PlayerId,Team,TeamId,Role,Sel,Credits,ComBatPos,Series Points,PlayingXI,Points,DT
3996,43971,M Rahim,,BAN,,WK,32.34,9,,0,0,0,0
3996,43971,L Das,,BAN,,WK,74.39,9,,0,0,0,0
3996,43971,R Gurbaz,,AFG,,WK,72.89,9,,0,0,0,0
3996,43971,Nurul Hasan,,BAN,,WK,3.19,8,,0,0,0,0
3996,43971,A Zazai,,AFG,,WK,1.99,8,,0,0,0,0
3996,43971,Najibullah-Zadran,,AFG,,BAT,80.84,9,,0,0,0,0
3996,43971,H Zazai,,AFG,,BAT,83.82,9,,0,0,0,0
3996,43971,U Ghani,,AFG,,BAT,19,8.5,,0,0,0,0
3996,43971,A Hossain,,BAN,,BAT,72.81,8.5,,0,0,0,0
3996,43971,N Sheik,,BAN,,BAT,43.19,8.5,,0,0,0,0
3996,43971,Y Ali Chowdhury,,BAN,,BAT,10.7,8,,0,0,0,0
3996,43971,D Rasooli,,AFG,,BAT,3.06,8,,0,0,0,0
3996,43971,M Shahriar,,BAN,,BAT,5.74,8,,0,0,0,0
3996,43971,S Al Hasan,,BAN,,AR,90.78,10,,0,0,0,0
3996,43971,M Nabi,,AFG,,AR,66.52,9.5,,0,0,0,0
3996,43971,Mahmudullah,,BAN,,AR,54.16,9,,0,0,0,0
3996,43971,K Janat,,AFG,,AR,21.7,8.5,,0,0,0,0
3996,43971,M Hasan,,BAN,,AR,19.35,8.5,,0,0,0,0
3996,43971,A Omarzai,,AFG,,AR,2.23,8.5,,0,0,0,0
3996,43971,Rashid-Khan,,AFG,,BOWL,92.9,9.5,,0,0,0,0
3996,43971,M Rahman,,BAN,,BOWL,78.39,9.5,,0,0,0,0
3996,43971,Mujeeb-ur-Rahman,,AFG,,BOWL,40.56,9,,0,0,0,0
3996,43971,T Ahmed,,BAN,,BOWL,41.57,8.5,,0,0,0,0
3996,43971,F Haq,,AFG,,BOWL,45.07,8.5,,0,0,0,0
3996,43971,S Islam,,BAN,,BOWL,11.54,8.5,,0,0,0,0
3996,43971,Q Ahmad,,AFG,,BOWL,5.4,8.5,,0,0,0,0
3996,43971,N Ahmed,,BAN,,BOWL,12.01,8.5,,0,0,0,0
3996,43971,F Malik,,AFG,,BOWL,4.08,8.5,,0,0,0,0
3996,43971,S Ashraf,,AFG,,BOWL,4.66,8,,0,0,0,0
3996,43971,S Islam,,BAN,,BOWL,2.42,8,,0,0,0,0
3996,43971,N Masood,,AFG,,BOWL,2.87,8,,0,0,0,0
