Ball_No,Batsman_Name,Batting_Style,Bowling_Type,Bowling_Side_of_Stumps,Ball_Pitching,Ball_Line,Ball_Length,Ball_Turn_Angle,Ball_Middled,Ball_Missed,Ball_Edged,Ball_Left,Shot_Aggressive,Shot_Attacking,Shot_Defensive,Shot_Type,Shot_Timing,Batsman_Head_Position,Batsman_Footwork
121,Blue1,LHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot Off Drive,1,1,1
122,Blue1,LHB,Spin,Round,NA,Outside Leg Stump,Full Toss,0,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
123,Blue1,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
124,Blue1,LHB,Pace,Over,Outside Leg Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
125,Blue1,LHB,Pace,Round,Off Stump,Outside Leg Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
126,Blue1,LHB,Pace,Over,Outside Leg Stump,Outside Off Stump,Good,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
127,Blue1,LHB,Spin,Over,Leg Stump,Outside Leg Stump,Full,16,0,1,0,0,0,0,0,None,0,0,0
128,Blue1,LHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
129,Blue1,LHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
130,Maroon,RHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
131,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
132,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
133,Maroon,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,0,0,1,0,0,0,0,Paddle Sweep,0,1,1
134,Maroon,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Good,39,1,0,0,0,0,1,0,BackFoot Pull,1,1,1
135,Maroon,RHB,Spin,Over,Outside Leg Stump,Outside Leg Stump,Full,15,1,0,0,0,0,1,0,BackFoot Lofted On Drive,1,1,1
136,Maroon,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
137,Maroon,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,1,0,0,BackFoot On Drive,1,1,1
138,Maroon,RHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,BackFoot Flick,1,0,1
139,Maroon,RHB,Pace,Over,Leg Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,1,0,BackFoot Lofted On Drive,1,0,1
140,Maroon,RHB,Spin,Over,Outside Off Stump,Middle Stump,Full,5,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
141,Maroon,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,0,1,0,0,0,0,1,0,FrontFoot On Drive,1,1,1
142,Maroon,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,0,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
143,Blue1,LHB,Pace,Over,Middle Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
144,Blue1,LHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Full,NA,0,0,1,0,0,0,0,None,0,0,1
145,Blue1,LHB,Pace,Over,Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
146,Blue1,LHB,Pace,Round,NA,Leg Stump,Full Toss,NA,1,0,0,0,0,1,0,FrontFoot Straight Drive,1,1,1
147,Blue1,LHB,Spin,Round,Outside Off Stump,Outside Off Stump,Full,33,0,1,0,0,0,0,0,None,0,0,0
148,Blue1,LHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
149,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
150,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,0,1,BackFoot On Drive,1,1,1
151,Orange2,RHB,Pace,Round,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,1,0,0,FrontFoot Straight Drive,1,0,1
152,Orange2,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
153,Orange2,RHB,Pace,Over,NA,Outside Off Stump,Full Toss,NA,1,0,0,0,1,0,0,FrontFoot On Drive,1,1,1
154,Orange2,RHB,Spin,Over,NA,Off Stump,Full Toss,0,1,0,0,0,1,0,0,FrontFoot Straight Drive,1,1,1
155,Orange2,RHB,Spin,Over,Outside Off Stump,Leg Stump,Full,21,1,0,0,0,1,0,0,BackFoot Punch,1,1,1
156,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
157,Blue2,RHB,Pace,Over,Outside Off Stump,Middle Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
158,Blue2,RHB,Pace,Round,Leg Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
159,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Flick,1,1,1
160,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
161,Blue2,RHB,Spin,Over,Leg Stump,Outside Off Stump,Full,18,0,1,0,0,0,0,0,None,0,0,0
162,Blue2,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,BackFoot Flick,1,0,1
163,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,0,0,1,0,0,1,None,1,1,1
164,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
165,Orange2,RHB,Pace,Round,Leg Stump,Leg Stump,Yorker,NA,1,0,0,0,1,0,0,FrontFoot On Drive,1,1,1
166,Orange2,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,0,0
167,Orange2,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,15,1,0,0,0,1,0,0,Sweep,1,1,1
168,Orange2,RHB,Spin,Over,Middle Stump,Off Stump,Yorker,10,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
169,Orange2,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Good,14,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
170,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,0,1,0,0,0,1,None,1,0,1
171,Blue2,RHB,Pace,Over,Outside Off Stump,Middle Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
172,Blue2,RHB,Pace,Round,Outside Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
173,Blue2,RHB,Pace,Over,Outside Off Stump,Middle Stump,Good,NA,0,0,1,0,0,0,0,None,0,0,0
174,Blue2,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,19,1,0,0,0,1,0,0,Sweep,1,1,1
175,Blue2,RHB,Pace,Over,Off Stump,Middle Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot Straight Drive,1,1,1
176,Blue2,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,15,1,0,0,0,1,0,0,BackFoot Flick,1,1,1
177,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,1,0,0,Square Cut,1,1,0
178,Orange2,RHB,Pace,Over,Outside Off Stump,Middle-Leg Stump,Good,NA,1,0,0,0,1,0,0,BackFoot Flick,1,1,1
179,Orange2,RHB,Pace,Round,Off Stump,Outside Off Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
180,Orange2,RHB,Pace,Over,Middle Stump,Outside Leg Stump,Full,NA,1,0,0,0,1,0,0,FrontFoot Flick,1,1,1
181,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,0,0,1,0,0,0,0,None,0,0,0
182,Orange2,RHB,Pace,Over,Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,FrontFoot Straight Drive,1,1,1
183,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,0,0,1,0,0,1,None,1,1,1
184,Blue2,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
185,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
186,Blue2,RHB,Pace,Round,NA,Outside Off Stump,Full Toss,NA,1,0,0,0,1,0,0,FrontFoot Off Drive,1,1,1
187,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,1,0,0,Square Drive,1,1,1
188,Blue2,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,5,1,0,0,0,0,1,0,FrontFoot Lofted Off Drive,1,1,1
189,Blue2,RHB,Spin,Over,Leg Stump,Off Stump,Full,11,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
190,Blue2,RHB,Spin,Over,Outside Off Stump,Off Stump,Full,9,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
191,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
192,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
193,Orange2,RHB,Pace,Round,Outside Leg Stump,Outside Leg Stump,Good,NA,0,0,0,1,0,0,0,None,0,0,0
194,Orange2,RHB,Pace,Over,Outside Off Stump,Outside Leg Stump,Full,NA,1,0,0,0,1,0,0,BackFoot Flick,1,1,1
195,Orange2,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,1,0,0,0,1,0,0,BackFoot Flick,1,1,1
196,Orange2,RHB,Spin,Over,Outside Off Stump,Off Stump,Full,0,0,1,0,0,0,0,0,None,0,0,0
197,Orange2,RHB,Spin,Over,Middle Stump,Outside Leg Stump,Full,0,0,1,0,0,0,0,0,None,0,0,0
198,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Drive,0,0,0
199,Blue2,RHB,Pace,Over,Outside Off Stump,Leg Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
200,Blue2,RHB,Pace,Over,Outside Leg Stump,Middle Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Flick,1,1,1
201,Blue2,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
