Ball_No,Batsman_Name,Batting_Style,Bowling_Type,Bowling_Side_of_Stumps,Ball_Pitching,Ball_Line,Ball_Length,Ball_Turn_Angle,Ball_Middled,Ball_Missed,Ball_Edged,Ball_Left,Shot_Aggressive,Shot_Attacking,Shot_Defensive,Shot_Type,Shot_Timing,Batsman_Head_Position,Batsman_Footwork
245,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,0,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
246,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,BackFoot On Drive,1,1,1
247,Blue3,RHB,Spin,Over,Middle Stump,Off Stump,Full,9,1,0,0,0,0,0,1,BackFoot Defence,1,1,1
248,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
249,Blue3,RHB,Pace,Over,Middle Stump,Outside Leg Stump,Full,NA,0,1,0,0,0,0,0,None,0,0,0
250,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Good,NA,0,1,0,0,0,0,0,None,0,0,0
251,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,36,0,1,0,0,0,0,0,None,0,0,0
252,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Yorker,NA,1,0,0,0,1,0,0,Cut,1,1,1
253,Blue3,RHB,Pace,Over,Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,BackFoot On Drive,1,1,1
254,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,31,0,1,0,0,0,0,0,None,0,0,0
255,Blue3,RHB,Pace,Over,NA,Off Stump,Full Toss,NA,1,0,0,0,1,0,0,FrontFoot Off Drive,1,1,0
256,Blue3,RHB,Pace,Over,Off Stump,Outside Leg Stump,Full,NA,1,0,0,0,0,0,1,BackFoot Defence,1,1,0
257,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,0,0,1,0,0,0,0,None,0,0,0
258,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Square Cut,1,1,1
259,Blue3,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,1,0,0,BackFoot On Drive,1,0,1
260,Blue3,RHB,Pace,Over,NA,Leg Stump,Full Toss,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
261,Blue3,RHB,Pace,Over,Leg Stump,Outside Leg Stump,Full,NA,0,0,1,0,0,0,0,None,0,0,0
262,Blue3,RHB,Pace,Over,Outside Off Stump,Off Stump,Full,NA,1,0,0,0,1,0,0,Square Drive,1,0,0
263,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,Cover Drive,1,1,1
264,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,36,0,0,0,1,0,0,1,None,1,1,1
265,Blue3,RHB,Spin,Over,Off Stump,Outside Off Stump,Full,11,0,0,1,0,0,0,0,None,0,0,0
266,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,12,1,0,0,0,1,0,0,BackFoot Flick,1,0,0
267,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Leg Stump,Full,45,1,0,0,0,1,0,0,BackFoot Flick,1,0,1
268,Blue3,RHB,Pace,Over,Outside Off Stump,Outside Off Stump,Full,NA,1,0,0,0,1,0,0,BackFoot Off Drive,1,1,1
269,Blue3,RHB,Pace,Over,Outside Leg Stump,Outside Leg Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
270,Blue3,RHB,Spin,Over,Outside Off Stump,Outside Off Stump,Full,20,1,0,0,0,0,0,1,FrontFoot Defence,1,1,1
271,Blue3,RHB,Pace,Over,Off Stump,Middle-Leg Stump,Yorker,NA,1,0,0,0,0,1,0,FrontFoot Lofted On Drive,1,1,1
