Score Area,Percentage,Runs,Wagon
Third man,0,0,1
Point,0.022727273,2,2
Cover,0.204545455,18,3
Long off,0.181818182,16,4
Long on,0.386363636,34,5
Mid wicket,0.181818182,16,6
Square leg,0.011363636,1,7
Fine leg,0.011363636,1,8
